Season,Player Name,Conference,Date,Team,Pos,Hight,Weight,Age,PreDraftTeam,DraftYear,YOS
2002-2003,Metta World Peace,East,"Nov 17, 2002","
Indiana Pacers
",SF,6-7,260,23,St. John's,1999,3
2002-2003,Rashard Lewis,West,"Nov 17, 2002","
Seattle SuperSonics
",F,6-10,235,23,Alief Elsik High School (Texas),1998,4
2002-2003,Jerry Stackhouse,East,"Nov 10, 2002","
Washington Wizards
",SF,6-6,218,28,North Carolina,1995,7
2002-2003,Dirk Nowitzki,West,"Nov 10, 2002","
Dallas Mavericks
",PF,7-0,245,24,DJK Wurzburg (Germany),1998,4
2002-2003,Glenn Robinson,East,"Nov 3, 2002","
Atlanta Hawks
",SF,6-7,225,30,Purdue,1994,8
2002-2003,Kobe Bryant,West,"Nov 3, 2002","
Los Angeles Lakers
",SG,6-6,212,24,Lower Merion High School (Pennsylvania),1996,6
2001-2002,Paul Pierce,East,"Apr 7, 2002","
Boston Celtics
",SF,6-7,235,24,Kansas,1998,3
2001-2002,Tim Duncan,West,"Apr 7, 2002","
San Antonio Spurs
",FC,6-11,250,25,Wake Forest,1997,4
2001-2002,Ben Wallace,East,"Mar 31, 2002","
Detroit Pistons
",FC,6-9,240,27,Virginia Union,1996,5
2001-2002,Shawn Marion,West,"Mar 31, 2002","
Phoenix Suns
",F,6-7,228,23,UNLV,1999,2
2001-2002,Jason Kidd,East,"Mar 24, 2002","
New Jersey Nets
",PG,6-4,210,28,California,1994,7
2001-2002,Tim Duncan,West,"Mar 24, 2002","
San Antonio Spurs
",FC,6-11,250,25,Wake Forest,1997,4
2001-2002,Tracy McGrady,East,"Mar 17, 2002","
Orlando Magic
",GF,6-8,210,22,Mt. Zion Christian Academy (North Carolina),1997,4
2001-2002,Tim Duncan,West,"Mar 17, 2002","
San Antonio Spurs
",FC,6-11,250,25,Wake Forest,1997,4
2001-2002,Kurt Thomas,East,"Mar 10, 2002","
New York Knicks
",FC,6-9,240,29,Texas Christian,1995,6
2001-2002,Shaquille O'Neal,West,"Mar 10, 2002","
Los Angeles Lakers
",C,7-1,325,29,LSU,1992,9
2001-2002,Allen Iverson,East,"Mar 3, 2002","
Philadelphia Sixers
",G,6-0,165,26,Georgetown,1996,5
2001-2002,Rasheed Wallace,West,"Mar 3, 2002","
Portland Trail Blazers
",FC,6-11,230,27,North Carolina,1995,6
2001-2002,Ben Wallace,East,"Feb 24, 2002","
Detroit Pistons
",FC,6-9,240,27,Virginia Union,1996,5
2001-2002,Shaquille O'Neal,West,"Feb 24, 2002","
Los Angeles Lakers
",C,7-1,325,29,LSU,1992,9
2001-2002,Andre Miller,East,"Feb 17, 2002","
Cleveland Cavaliers
",PG,6-3,200,25,Utah,1999,2
2001-2002,Karl Malone,West,"Feb 17, 2002","
Utah Jazz
",PF,6-9,265,38,Louisiana Tech,1985,16
2001-2002,Jason Kidd,East,"Feb 3, 2002","
New Jersey Nets
",PG,6-4,210,28,California,1994,7
2001-2002,Shaquille O'Neal,West,"Feb 3, 2002","
Los Angeles Lakers
",C,7-1,325,29,LSU,1992,9
2001-2002,Allen Iverson,East,"Jan 27, 2002","
Philadelphia Sixers
",G,6-0,165,26,Georgetown,1996,5
2001-2002,Dirk Nowitzki,West,"Jan 27, 2002","
Dallas Mavericks
",PF,7-0,245,23,DJK Wurzburg (Germany),1998,3
2001-2002,Allen Iverson,East,"Jan 20, 2002","
Philadelphia Sixers
",G,6-0,165,26,Georgetown,1996,5
2001-2002,Kobe Bryant,West,"Jan 20, 2002","
Los Angeles Lakers
",SG,6-6,212,23,Lower Merion High School (Pennsylvania),1996,5
2001-2002,Ray Allen,East,"Jan 13, 2002","
Milwaukee Bucks
",SG,6-5,205,26,Connecticut,1996,5
2001-2002,Kevin Garnett,West,"Jan 13, 2002","
Minnesota Timberwolves
",PF,6-11,240,25,Farragut Career Academy (Illinois),1995,6
2001-2002,Eddie Jones,East,"Jan 6, 2002","
Miami Heat
",G-F,6-6,200,30,Temple,1994,7
2001-2002,Chris Webber,West,"Jan 6, 2002","
Sacramento Kings
",F-C,6-9,245,28,Michigan,1993,8
2001-2002,Jason Kidd,East,"Dec 30, 2001","
New Jersey Nets
",PG,6-4,210,28,California,1994,7
2001-2002,Tim Duncan,West,"Dec 30, 2001","
San Antonio Spurs
",FC,6-11,250,25,Wake Forest,1997,4
2001-2002,Jermaine O'Neal,East,"Dec 23, 2001","
Indiana Pacers
",FC,6-11,235,23,Eau Claire High School (South Carolina),1996,5
2001-2002,Gary Payton,West,"Dec 23, 2001","
Seattle SuperSonics
",G,6-4,180,33,Oregon State,1990,11
2001-2002,Richard Hamilton,East,"Dec 16, 2001","
Washington Wizards
",SG,6-7,193,24,Connecticut,1999,2
2001-2002,Steve Nash,West,"Dec 16, 2001","
Dallas Mavericks
",G,6-3,178,28,Santa Clara,1996,5
2001-2002,Andre Miller,East,"Dec 9, 2001","
Cleveland Cavaliers
",PG,6-3,200,25,Utah,1999,2
2001-2002,Elton Brand,West,"Dec 9, 2001","
Los Angeles Clippers
",PF,6-9,254,22,Duke,1999,2
2001-2002,Paul Pierce,East,"Dec 2, 2001","
Boston Celtics
",SF,6-7,235,24,Kansas,1998,3
2001-2002,Stephon Marbury,West,"Dec 2, 2001","
Phoenix Suns
",G,6-2,180,25,Georgia Tech,1996,5
2001-2002,Shareef Abdur-Rahim,East,"Nov 25, 2001","
Atlanta Hawks
",F,6-9,225,25,California,1996,5
2001-2002,Tim Duncan,West,"Nov 25, 2001","
San Antonio Spurs
",FC,6-11,250,25,Wake Forest,1997,4
2001-2002,Allen Iverson,East,"Nov 18, 2001","
Philadelphia Sixers
",G,6-0,165,26,Georgetown,1996,5
2001-2002,Kevin Garnett,West,"Nov 18, 2001","
Minnesota Timberwolves
",PF,6-11,240,25,Farragut Career Academy (Illinois),1995,6
2001-2002,Vince Carter,East,"Nov 11, 2001","
Toronto Raptors
",SF,6-6,220,25,North Carolina,1998,3
2001-2002,Tim Duncan,West,"Nov 11, 2001","
San Antonio Spurs
",FC,6-11,250,25,Wake Forest,1997,4
2001-2002,Ray Allen,East,"Nov 4, 2001","
Milwaukee Bucks
",SG,6-5,205,26,Connecticut,1996,5
2001-2002,Kobe Bryant,West,"Nov 4, 2001","
Los Angeles Lakers
",SG,6-6,212,23,Lower Merion High School (Pennsylvania),1996,5
2000-2001,Ray Allen,,"Apr 15, 2001","
Milwaukee Bucks
",SG,6-5,205,25,Connecticut,1996,4
2000-2001,Shaquille O'Neal,,"Apr 8, 2001","
Los Angeles Lakers
",C,7-1,325,28,LSU,1992,8
2000-2001,Jason Kidd,,"Apr 1, 2001","
Phoenix Suns
",PG,6-4,210,27,California,1994,6
2000-2001,Paul Pierce,,"Mar 25, 2001","
Boston Celtics
",SF,6-7,235,23,Kansas,1998,2
2000-2001,Cuttino Mobley,,"Mar 18, 2001","
Houston Rockets
",G,6-4,190,25,Rhode Island,1998,2
2000-2001,Derek Anderson,,"Mar 11, 2001","
San Antonio Spurs
",G,6-5,194,26,Kentucky,1997,3
2000-2001,Vince Carter,,"Mar 4, 2001","
Toronto Raptors
",SF,6-6,220,24,North Carolina,1998,2
2000-2001,Shawn Marion,,"Feb 25, 2001","
Phoenix Suns
",F,6-7,228,22,UNLV,1999,1
2000-2001,Allen Iverson,,"Feb 18, 2001","
Philadelphia Sixers
",G,6-0,165,25,Georgetown,1996,4
2000-2001,Darrell Armstrong,,"Feb 4, 2001","
Orlando Magic
",PG,6-0,170,32,Fayetteville State,1991,6
2000-2001,Tim Duncan,,"Jan 28, 2001","
San Antonio Spurs
",FC,6-11,250,24,Wake Forest,1997,3
2000-2001,Chris Webber,,"Jan 22, 2001","
Sacramento Kings
",F-C,6-9,245,28,Michigan,1993,7
2000-2001,Steve Francis,,"Jan 14, 2001","
Houston Rockets
",G,6-3,195,24,Maryland,1999,1
2000-2001,Allen Iverson,,"Jan 7, 2001","
Philadelphia Sixers
",G,6-0,165,25,Georgetown,1996,4
2000-2001,Aaron McKie,,"Dec 31, 2000","
Philadelphia Sixers
",G,6-5,209,28,Temple,1994,6
2000-2001,Kobe Bryant,,"Dec 24, 2000","
Los Angeles Lakers
",SG,6-6,212,22,Lower Merion High School (Pennsylvania),1996,4
2000-2001,Glenn Robinson,,"Dec 17, 2000","
Milwaukee Bucks
",SF,6-7,225,28,Purdue,1994,6
2000-2001,Chris Webber,,"Dec 10, 2000","
Sacramento Kings
",F-C,6-9,245,28,Michigan,1993,7
2000-2001,Antonio McDyess,,"Dec 3, 2000","
Denver Nuggets
",F,6-9,245,26,Alabama,1995,5
2000-2001,Baron Davis,,"Nov 26, 2000","
Charlotte Hornets
",G,6-3,215,21,UCLA,1999,1
2000-2001,Kevin Garnett,,"Nov 19, 2000","
Minnesota Timberwolves
",PF,6-11,240,24,Farragut Career Academy (Illinois),1995,5
2000-2001,Stephon Marbury,,"Nov 12, 2000","
New Jersey Nets
",G,6-2,180,24,Georgia Tech,1996,4
2000-2001,Karl Malone,,"Nov 6, 2000","
Utah Jazz
",PF,6-9,265,37,Louisiana Tech,1985,15
2000-2001,John Stockton,,"Nov 6, 2000","
Utah Jazz
",PG,6-1,170,38,Gonzaga,1984,16
1999-2000,Kobe Bryant,,"Apr 17, 2000","
Los Angeles Lakers
",SG,6-6,212,21,Lower Merion High School (Pennsylvania),1996,3
1999-2000,Alonzo Mourning,,"Apr 10, 2000","
Miami Heat
",C,6-10,240,30,Georgetown,1992,7
1999-2000,Tim Duncan,,"Apr 3, 2000","
San Antonio Spurs
",FC,6-11,250,23,Wake Forest,1997,2
1999-2000,Kevin Garnett,,"Mar 27, 2000","
Minnesota Timberwolves
",PF,6-11,240,23,Farragut Career Academy (Illinois),1995,4
1999-2000,Jalen Rose,,"Mar 20, 2000","
Indiana Pacers
",G,6-8,210,27,Michigan,1994,5
1999-2000,Shaquille O'Neal,,"Mar 13, 2000","
Los Angeles Lakers
",C,7-1,325,27,LSU,1992,7
1999-2000,Karl Malone,,"Mar 6, 2000","
Utah Jazz
",PF,6-9,265,36,Louisiana Tech,1985,14
1999-2000,Vince Carter,,"Feb 28, 2000","
Toronto Raptors
",SF,6-6,220,23,North Carolina,1998,1
1999-2000,Shaquille O'Neal,,"Feb 22, 2000","
Los Angeles Lakers
",C,7-1,325,27,LSU,1992,7
1999-2000,Michael Finley,,"Feb 7, 2000","
Dallas Mavericks
",G-F,6-7,225,26,Wisconsin,1995,4
1999-2000,Dikembe Mutombo,,"Jan 31, 2000","
Atlanta Hawks
",C,7-2,260,33,Georgetown,1991,8
1999-2000,Steve Francis,,"Jan 24, 2000","
Houston Rockets
",G,6-3,195,23,Maryland,1999,0
1999-2000,Chris Webber,,"Jan 17, 2000","
Sacramento Kings
",F-C,6-9,245,27,Michigan,1993,6
1999-2000,Grant Hill,,"Jan 10, 2000","
Detroit Pistons
",SF,6-8,225,27,Duke,1994,5
1999-2000,Chris Webber,,"Jan 3, 2000","
Sacramento Kings
",F-C,6-9,245,27,Michigan,1993,6
1999-2000,Kevin Garnett,,"Dec 27, 1999","
Minnesota Timberwolves
",PF,6-11,240,23,Farragut Career Academy (Illinois),1995,4
1999-2000,Jason Kidd,,"Dec 20, 1999","
Phoenix Suns
",PG,6-4,210,26,California,1994,5
1999-2000,Alonzo Mourning,,"Dec 13, 1999","
Miami Heat
",C,6-10,240,30,Georgetown,1992,7
1999-2000,Shaquille O'Neal,,"Dec 5, 1999","
Los Angeles Lakers
",C,7-1,325,27,LSU,1992,7
1999-2000,Tim Duncan,,"Nov 28, 1999","
San Antonio Spurs
",FC,6-11,250,23,Wake Forest,1997,2
1999-2000,Vince Carter,,"Nov 21, 1999","
Toronto Raptors
",SF,6-6,220,23,North Carolina,1998,1
1999-2000,Kevin Garnett,,"Nov 14, 1999","
Minnesota Timberwolves
",PF,6-11,240,23,Farragut Career Academy (Illinois),1995,4
1999-2000,Sam Cassell,,"Nov 7, 1999","
Milwaukee Bucks
",G,6-3,185,30,Florida State,1993,6
1998-1999,Grant Hill,,"May 2, 1999","
Detroit Pistons
",SF,6-8,225,26,Duke,1994,4
1998-1999,Chris Webber,,"Apr 25, 1999","
Sacramento Kings
",F-C,6-9,245,25,Michigan,1993,5
1998-1999,Jason Kidd,,"Apr 18, 1999","
Phoenix Suns
",PG,6-4,210,25,California,1994,4
1998-1999,Karl Malone,,"Apr 11, 1999","
Utah Jazz
",PF,6-9,265,35,Louisiana Tech,1985,13
1998-1999,Kevin Garnett,,"Apr 4, 1999","
Minnesota Timberwolves
",PF,6-11,240,22,Farragut Career Academy (Illinois),1995,3
1998-1999,Darrell Armstrong,,"Mar 28, 1999","
Orlando Magic
",PG,6-0,170,30,Fayetteville State,1991,4
1998-1999,Vince Carter,,"Mar 21, 1999","
Toronto Raptors
",SF,6-6,220,22,North Carolina,1998,0
1998-1999,Alonzo Mourning,,"Mar 14, 1999","
Miami Heat
",C,6-10,240,29,Georgetown,1992,6
1998-1999,Tim Duncan,,"Mar 7, 1999","
San Antonio Spurs
",FC,6-11,250,22,Wake Forest,1997,1
1998-1999,Antonio McDyess,,"Feb 28, 1999","
Denver Nuggets
",F,6-9,245,24,Alabama,1995,3
1998-1999,Stephon Marbury,,"Feb 21, 1999","
Minnesota Timberwolves
",G,6-2,180,22,Georgia Tech,1996,2
1998-1999,Gary Payton,,"Feb 14, 1999","
Seattle SuperSonics
",G,6-4,180,30,Oregon State,1990,8
1998-1999,Dikembe Mutombo,,"Feb 7, 1999","
Atlanta Hawks
",C,7-2,260,32,Georgetown,1991,7
1997-1998,Jason Kidd,,"Apr 19, 1998","
Phoenix Suns
",PG,6-4,210,24,California,1994,3
1997-1998,Sam Cassell,,"Apr 12, 1998","
New Jersey Nets
",G,6-3,185,28,Florida State,1993,4
1997-1998,Michael Jordan,,"Apr 5, 1998","
Chicago Bulls
",SG,6-6,215,35,North Carolina,1984,12
1997-1998,Alonzo Mourning,,"Mar 29, 1998","
Miami Heat
",C,6-10,240,28,Georgetown,1992,5
1997-1998,Shaquille O'Neal,,"Mar 22, 1998","
Los Angeles Lakers
",C,7-1,325,25,LSU,1992,5
1997-1998,Jason Kidd,,"Mar 15, 1998","
Phoenix Suns
",PG,6-4,210,24,California,1994,3
1997-1998,Karl Malone,,"Mar 8, 1998","
Utah Jazz
",PF,6-9,265,34,Louisiana Tech,1985,12
1997-1998,Tim Duncan,,"Mar 1, 1998","
San Antonio Spurs
",FC,6-11,250,21,Wake Forest,1997,0
1997-1998,Nick Anderson,,"Feb 22, 1998","
Orlando Magic
",GF,6-6,228,30,Illinois,1989,8
1997-1998,Karl Malone,,"Feb 15, 1998","
Utah Jazz
",PF,6-9,265,34,Louisiana Tech,1985,12
1997-1998,David Robinson,,"Feb 1, 1998","
San Antonio Spurs
",C,7-1,250,32,Navy,1987,8
1997-1998,Jayson Williams,,"Jan 25, 1998","
New Jersey Nets
",FC,6-10,245,30,St. John's,1990,7
1997-1998,Allen Iverson,,"Jan 18, 1998","
Philadelphia Sixers
",G,6-0,165,22,Georgetown,1996,1
1997-1998,Steve Smith,,"Jan 11, 1998","
Atlanta Hawks
",SG,6-7,200,28,Michigan State,1991,6
1997-1998,Rik Smits,,"Jan 4, 1998","
Indiana Pacers
",C,7-4,250,31,Marist,1988,9
1997-1998,David Robinson,,"Dec 28, 1997","
San Antonio Spurs
",C,7-1,250,32,Navy,1987,8
1997-1998,Michael Jordan,,"Dec 21, 1997","
Chicago Bulls
",SG,6-6,215,35,North Carolina,1984,12
1997-1998,Glen Rice,,"Dec 14, 1997","
Charlotte Hornets
",SF,6-8,228,30,Michigan,1989,8
1997-1998,Wesley Person,,"Dec 7, 1997","
Cleveland Cavaliers
",SG,6-6,195,26,Auburn,1994,3
1997-1998,Karl Malone,,"Nov 30, 1997","
Utah Jazz
",PF,6-9,265,34,Louisiana Tech,1985,12
1997-1998,Michael Jordan,,"Nov 23, 1997","
Chicago Bulls
",SG,6-6,215,35,North Carolina,1984,12
1997-1998,Shaquille O'Neal,,"Nov 16, 1997","
Los Angeles Lakers
",C,7-1,325,25,LSU,1992,5
1997-1998,Dikembe Mutombo,,"Nov 9, 1997","
Atlanta Hawks
",C,7-2,260,31,Georgetown,1991,6
1996-1997,Chris Webber,,"Apr 20, 1997","
Washington Bullets
",F-C,6-9,245,24,Michigan,1993,3
1996-1997,Allen Iverson,,"Apr 13, 1997","
Philadelphia Sixers
",G,6-0,165,21,Georgetown,1996,0
1996-1997,Grant Hill,,"Apr 6, 1997","
Detroit Pistons
",SF,6-8,225,24,Duke,1994,2
1996-1997,Kevin Johnson,,"Mar 30, 1997","
Phoenix Suns
",PG,6-1,180,30,California,1987,9
1996-1997,Karl Malone,,"Mar 23, 1997","
Utah Jazz
",PF,6-9,265,33,Louisiana Tech,1985,11
1996-1997,Karl Malone,,"Mar 16, 1997","
Utah Jazz
",PF,6-9,265,33,Louisiana Tech,1985,11
1996-1997,Patrick Ewing,,"Mar 9, 1997","
New York Knicks
",C,7-0,240,34,Georgetown,1985,11
1996-1997,Loy Vaught,,"Mar 2, 1997","
Los Angeles Clippers
",PF,6-9,230,30,Michigan,1990,6
1996-1997,Scottie Pippen,,"Feb 23, 1997","
Chicago Bulls
",SF,6-8,228,31,Central Arkansas,1987,9
1996-1997,Alonzo Mourning,,"Feb 16, 1997","
Miami Heat
",C,6-10,240,27,Georgetown,1992,4
1996-1997,Glen Rice,,"Feb 2, 1997","
Charlotte Hornets
",SF,6-8,228,29,Michigan,1989,7
1996-1997,Mitch Richmond,,"Jan 26, 1997","
Sacramento Kings
",SG,6-5,215,31,Kansas State,1988,8
1996-1997,Grant Hill,,"Jan 19, 1997","
Detroit Pistons
",SF,6-8,225,24,Duke,1994,2
1996-1997,Glenn Robinson,,"Jan 12, 1997","
Milwaukee Bucks
",SF,6-7,225,24,Purdue,1994,2
1996-1997,Glen Rice,,"Jan 5, 1997","
Charlotte Hornets
",SF,6-8,228,29,Michigan,1989,7
1996-1997,Tim Hardaway,,"Dec 29, 1996","
Miami Heat
",PG,6-0,175,30,UTEP,1989,7
1996-1997,Terrell Brandon,,"Dec 22, 1996","
Cleveland Cavaliers
",PG,5-11,180,26,Oregon,1991,5
1996-1997,Shaquille O'Neal,,"Dec 15, 1996","
Los Angeles Lakers
",C,7-1,325,24,LSU,1992,4
1996-1997,Terry Mills,,"Dec 8, 1996","
Detroit Pistons
",PF,6-10,230,29,Michigan,1990,6
1996-1997,Dikembe Mutombo,,"Dec 1, 1996","
Atlanta Hawks
",C,7-2,260,30,Georgetown,1991,5
1996-1997,Charles Barkley,,"Nov 24, 1996","
Houston Rockets
",PF,6-6,252,34,Auburn,1984,12
1996-1997,Karl Malone,,"Nov 24, 1996","
Utah Jazz
",PF,6-9,265,33,Louisiana Tech,1985,11
1996-1997,Dale Ellis,,"Nov 17, 1996","
Denver Nuggets
",GF,6-7,205,36,Tennessee,1983,13
1996-1997,Hakeem Olajuwon,,"Nov 10, 1996","
Houston Rockets
",C,7-0,255,34,Houston,1984,12
1995-1996,Dennis Scott,,"Apr 21, 1996","
Orlando Magic
",SF,6-8,229,27,Georgia Tech,1990,5
1995-1996,Juwan Howard,,"Apr 14, 1996","
Washington Bullets
",PF,6-9,240,23,Michigan,1994,1
1995-1996,Kevin Johnson,,"Apr 7, 1996","
Phoenix Suns
",PG,6-1,180,29,California,1987,8
1995-1996,Arvydas Sabonis,,"Mar 31, 1996","
Portland Trail Blazers
",C,7-3,279,31,Zalgiris (Lithuania),1986,0
1995-1996,Chris Gatling,,"Mar 24, 1996","
Miami Heat
",PF,6-10,220,28,Old Dominion,1991,4
1995-1996,Grant Hill,,"Mar 17, 1996","
Detroit Pistons
",SF,6-8,225,23,Duke,1994,1
1995-1996,Michael Jordan,,"Mar 10, 1996","
Chicago Bulls
",SG,6-6,215,33,North Carolina,1984,10
1995-1996,Shaquille O'Neal,,"Mar 3, 1996","
Orlando Magic
",C,7-1,325,23,LSU,1992,3
1995-1996,Hakeem Olajuwon,,"Mar 3, 1996","
Houston Rockets
",C,7-0,255,33,Houston,1984,11
1995-1996,Shawn Kemp,,"Feb 25, 1996","
Seattle SuperSonics
",C,6-10,280,26,Trinity Valley CC,1989,6
1995-1996,Armen Gilliam,,"Feb 18, 1996","
New Jersey Nets
",PF,6-9,230,31,UNLV,1987,8
1995-1996,Jason Kidd,,"Feb 4, 1996","
Dallas Mavericks
",PG,6-4,210,22,California,1994,1
1995-1996,Reggie Miller,,"Jan 28, 1996","
Indiana Pacers
",SG,6-7,185,30,UCLA,1987,8
1995-1996,Michael Jordan,,"Jan 21, 1996","
Chicago Bulls
",SG,6-6,215,33,North Carolina,1984,10
1995-1996,David Robinson,,"Jan 14, 1996","
San Antonio Spurs
",C,7-1,250,30,Navy,1987,6
1995-1996,Cliff Robinson,,"Jan 7, 1996","
Portland Trail Blazers
",PF,6-10,225,29,Connecticut,1989,6
1995-1996,Karl Malone,,"Dec 31, 1995","
Utah Jazz
",PF,6-9,265,32,Louisiana Tech,1985,10
1995-1996,Michael Jordan,,"Dec 24, 1995","
Chicago Bulls
",SG,6-6,215,33,North Carolina,1984,10
1995-1996,Scottie Pippen,,"Dec 17, 1995","
Chicago Bulls
",SF,6-8,228,30,Central Arkansas,1987,8
1995-1996,Dikembe Mutombo,,"Dec 10, 1995","
Denver Nuggets
",C,7-2,260,29,Georgetown,1991,4
1995-1996,Terrell Brandon,,"Dec 3, 1995","
Cleveland Cavaliers
",PG,5-11,180,25,Oregon,1991,4
